S/N,DATE,NAME_OF_ENTITY,NATURE_OF_BUSINESS,BUSINESS_PROJECT,CONTACT_NAME_PHONE_EMAIL_OF_PROMOTER,PROPOSED_FACILITY_AMOUNT,PURPOSE_OF_FACILITY,VALUE_CHAIN_CATEGORY,NAME_OF_BANK,BORROWING_RELATIONSHIP,FRESH_LOAN_REQUEST,REQUEST_SUBMITTED_TO_BANK,SECURITY_PROPOSED,FEASIBILITY_STUDY_AVAILABLE,HIGHLIGHTS_OF_DISCUSSION,RM_BM_NAME_PHONE_NUMBER,RM_BM_EMAIL,STATUS_UPDATE,CHALLENGES,PROPOSED_NEXT_STEPS,STATE,TARGET
69,7/28/2023,COM10069,SUPER AGRO DEALER IN FERTILIZER ,NEW  ,OB10069,80000000,AGRO DEALER IN FERT,PRE-UPSTREAM,BOI,NO,YES,YES,NOT YET PROVIDED,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE,NIGER,0
70,7/28/2023,COM10070,POULTRY FARM,NEW  ,OB10070,350000000,POULTRY FARM,UPSTREAM,FIDELITY BANK,NO,YES,YES,NOT YET PROVIDED,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE,NIGER,0
71,7/28/2023,COM10071,POULTRY FARMS,EXISTING,OB10071,200000000,POULTRY FARM,UPSTREAM,UBA PLC MOKWA,NO,YES,YES,NOT YET PROVIDED,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,WAITING FOR RESPONSE,NIGER,0
72,7/28/2023,COM10072,KIARA RICE MILLS KPASUWA  MOKWA,EXISTING,OB10072,2000000000,RICE MILLS,UPSTREAM,STERLING BANK PLC,NO,YES,YES,NOT YET PROVIDEDD,NO,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,AWAITNG HQ ACTION,NIGER,0
73,7/28/2023,COM10073,SUPER AGRO-DEALER ,EXISTING,OB10073,40000000,FERTILIZER DEALER ,PRE-UPSTREAM,STERLING BANK PLC,NO,YES,YES,YES,YES,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,"AWAITING THE BANK,S REPORT",NIGER,1
74,7/28/2023,COM10074,SUPER AGRO-DEALER  IN FERTILIZER,EXISTING,OB10074,30000000,FERTILIZER DEALER ,PRE-UPSTREAM,UBA  11 MINNA,NO,YES,YES,YES,YES,NIL,NIL,NIL,LACK OF COMPLETE DOCUMENTS,DELAY  IN RESPONSE FROM BANK,"AWAITING THE BANK,S REPORT",NIGER,0
75,7/28/2023,COM10075,AGRO DEALER,EXISTING,OB10075,50000000,WORKING CAPITAL,PRE-UPSTREAM,FCMB,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,LETTER OF INTENT HAVE BEEN ISSUED TO THE OBLIGOR ,NIL,AWAITING FEEDBACK FROM THE PROSPECT,NIGER,0
76,7/28/2023,COM10076,SHEA-COSMETICS,EXISTING,OB10076,10000000,EQUIPMENT,MIDSTREAM,UBA,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,LETTER OF INTENT HAVE BEEN ISSUED TO THE OBLIGOR ,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
77,7/28/2023,COM10077,AGRO DEALER,EXISTING,OB10077,126000000,WORKING CAPITAL,PRE-UPSTREAM,FIDELITY BANK,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
78,7/28/2023,COM10078,AGRO DEALER,EXISTING,OB10078,350000000,WORKING CAPITAL,PRE-UPSTREAM,UNITY ,YES,YES,YES,PROVIDED,NO,NIL,NIL,NIL,LETTER OF INTENT HAVE BEEN ISSUED TO THE OBLIGOR ,NIL,AWAITING FEEDBACK FROM THE  PROSPECT.,NIGER,0
79,7/28/2023,COM10079,AGRO DEALER,EXISTING,OB10079,150000000,WORKING CAPITAL,PRE-UPSTREAM,,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
80,7/28/2023,COM10080,POULTRY,EXISTING,OB10080,10000000,WORKING CAPITAL,UPSTREAM,,YES,YES,NO,YET TO PROVIDE,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,N/A,AWAITING FEEDBACK FROM THE  PROSPECT.,NIGER,0
81,7/28/2023,COM10081,INPUT SUPPLY,EXISTING,OB10081,100000000,WORKING CAPITAL,PRE-UPSTREAM,,YES,YES,NO,YET TO PROVIDE,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,N/A,AWAITING FEEDBACK FROM THE  PROSPECT.,NIGER,0
82,7/28/2023,COM10082,RICE MILLER,EXISTING,OB10082,200000000,EQUIPMENT FINANCING AND WORKING CAPITAL,MIDSTREAM,UBA,YES,YES,NO,YET TO PROVIDE,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,N/A,AWAITING FEEDBACK FROM THE  PROSPECT.,NIGER,0
83,7/28/2023,COM10083,RICE  MILLING ,EXISTING,OB10083,100000000,RICE MILL,UPSTREAM,"ZENITH, ACCESS BANK",YES,YES,NO,NO,NO,NIL,NIL,NIL,DISCUSSION WITH BANK ONGOING,,AWAITING RESPONSE FROM PROSPECTIVE,NIGER,0
84,7/28/2023,COM10084,POULTRY,EXISTING,OB10084,50000000,WORKING CAPITAL,UPSTREAM,,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM PROSPECTIVE,NIGER,0
85,7/28/2023,COM10085,SWEET POTATOE POWDER AND MAIZE PROCESING ,NEW  ,OB10085,100000000,WORKING CAPITAL,MIDSTREAM,,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWAITING FEEDBACK FROM THE PROSPECT,NIGER,0
86,7/28/2023,COM10086,PIGGERY,EXISTING,OB10086,10000000,WORKING CAPITAL,UPSTREAM,,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWAITING FEEDBACK FROM THE PROSPECT,NIGER,0
87,8/9/2023,COM10087,FISH FARMING & PROCESSING,EXISTING,OB10087,10000000,EQUIPMENT,MIDSTREAM,POLARIS BANK,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
88,8/17/2023,COM10088,SHEA-COSMETICS,EXISTING,OB10088,30000000,WORKING CAPITAL,MIDSTREAM,,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NO C OF O,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
89,9/6/2023,COM10089,OIL SEEDS EXTRACTION,EXISTING,OB10089,25000000,WORKING CAPITAL,MIDSTREAM,,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NO C OF O,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
90,9/6/2023,COM10090,SHEA-COSMETICS,EXISTING,OB10090,15000000,WORKING CAPITAL,MIDSTREAM,,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NO C OF O,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
91,9/28/2023,COM10091,POULTRY ,EXISTING,OB10091,50000000,EQUIPMENT,UPSTREAM,ZENITH BANK,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NO C OF O,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
92,9/29/2023,COM10092,POULTRY ,EXISTING,OB10092,5000000,WORKING CAPITAL,UPSTREAM,,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
93,11/14/2023,COM10093,GARRI PROCESSING & RICE MILLING,EXISTING,OB10093,48000000,EQUIPMENT,MIDSTREAM,,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
94,9/1/2024,COM10094,POULTRY ,EXISTING,OB10094,5000000,WORKING CAPITAL,UPSTREAM,,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
95,1/31/2024,COM10095,POULTRY ,EXISTING,OB10095,5000000,WORKING CAPITAL,UPSTREAM,,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
96,4/3/2024,COM10096,POULTRY ,EXISTING,OB10096,20000000,WORKING CAPITAL,UPSTREAM,,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
97,28/03/2024,COM10097,RICE MILLING,EXISTING,OB10097,20000000,WORKING CAPITAL,MIDSTREAM,,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT,NIGER,0
98,28/03/2024,COM10098,PROCESSING,EXISTING,OB10098,20000000,,MIDSTREAM,,NO,NO,NO,YET TO,NO,NIL,NIL,NIL,,,,NIGER,0
99,28/03/2024,COM10099,RICE AGGREGATOR ,EXISTING,OB10099,30000000,,DOWNSTREAM,,NO,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT ,NIGER,0
100,31/01/2024,COM10100,AGRIC WASTE PROCESSING,EXISTING,OB10100,3500000,WORKING CAPITAL,UPSTREAM,,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT ,NIGER,0
101,31/01/2024,COM10101,LIVESTOCK FARMING ,EXISTING,OB10101,5000000,WORKING CAPITAL,UPSTREAM,,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DOCUMENT YET TO BE PRESENTED,NIL,AWATING FEEDBACK FROM THE PROSPECT ,NIGER,0
102,28/03/2024,COM10102,AGGREGATOR,EXISTING,OB10102,200000000,WORKING CAPITAL,DOWNSTREAM,LOTUS BANK,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DISCUSION ONGOING,OFFSETTING AN EXISTING LOAN,AWAITING FEEDBACK FROM THE PROSPECT,NIGER,0
103,28/03/2024,COM10103,SHEA PROCESSING ,EXISTING,OB10103,10000000,EQUIPMENT FINANCING,UPSTREAM,FCMB PLC,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DISCUSION ONGOING,NIL,AWATING FEEDBACK FROM THE PROSPECT. ,NIGER,0
104,45322,COM10104,PROCESSING,NEW  ,OB10104,400000000,WORKING CAPITAL,MIDSTREAM,GTB,YES,YES,NO,YET TO PROVIDE ,NO,NIL,NIL,NIL,DISCUSION ONGOING,NIL,AWATING FEEDBACK FROM THE PROSPECT. ,NIGER,0
105,45322,COM10105,PACKAGING AND MARKETING,EXISTING,OB10105,500000000,WORKING CAPITAL AND EQUIPMENT FINANCING,MIDSTREAM,UNION  BANK PLC,YES,YES,YES,YET TO PROVIDE,NO,NIL,NIL,NIL,DISCUSION ONGOING,NIL,AWAITING FEEDBACK FROM THE PROSPECT,NIGER,0
106,31/01/2024,COM10106,PROCESSING,EXISTING,OB10106,300000000,EQUIPMENT FINANCING,MIDSTREAM,STERLING BANK PLC,YES,YES,NO,YES,NO,NIL,NIL,NIL,DISCUSION ONGOING,NIL,AWAITING FEEDBACK FROM THE PROSPECT,NIGER,0
107,31/01/2024,COM10107,RICE PROCESSING,EXISTING,OB10107,3990000,EQUIPMENT FINANCING,MIDSTREAM,JAIZ BANK PLC,YES,YES,YES,YES,YES,NIL,NIL,NIL,ONGOING,NIL,PRE-GUARANTEE VISIT CONDUCTED AND AWAITING RESPONSE FOR NEXT LINE OF ACTION,NIGER,1
108,31/01/2024,COM10108,RICE PROCESSING,EXISTING,OB10108,500000000,WORKING CAPITAL,MIDSTREAM,ZENITH BANK,YES,YES,YES,YET TO PROVIDE,NO,NIL,NIL,NIL,DISCUSION ONGOING,NEEDS FOR REDUCTION ON BANK INTEREST RATE,AWAITNG FEEDBACK FROM PROSPECT AND BANK FOR UPDATE.,NIGER,0
109,31/01/2024,COM10109,RICE PROCESSING,EXISTING,OB10109,300000000,EQUIPMENT FINANCING,MIDSTREAM,FIDELITY BANK,YES,YES,YES,NA,YES,NIL,NIL,NIL,DISCUSION ONGOING & A meeting with the prospect has been proposed by the BM for further consultations.,NIL,AWAITING FEEDBACK FROM DBM FOR INVITATION.,NIGER,1
110,31/01/2024,COM10110,RICE AGGREGATOR,EXISTING,OB10110,5000000,WORKING CAPITAL,MIDSTREAM,ACCESS BANK PLC/DIAMOND,NO,NO,YES,N/A,NO,NIL,NIL,NIL,NO UPDATES,NIL,AWAITING FEEDBACK FROM ACCESS/DIAMOND,NIGER,0
111,31/01/2024,COM10111,AGGREGATOR,EXISTING,OB10111,87000000,WORKING CAPITAL,MIDSTREAM,FCMB,NO,YES,YES,N/A,YES,NIL,NIL,NIL,NO UPDATES,NIL,AWAITING FEEDBACK FROM FCMB,NIGER,1
112,31/01/2024,COM10112,PRIMARY PRODUCTION,NEW  ,OB10112,3500000000,AGRIC.,PRE-UPSTREAM,N/A,YES,YES,NO,N/A,YES,NIL,NIL,NIL,ONGOING,PERCEIVED BEREAUCRACY.,FOLLOW UP WITH THE COMMISSIONER OF AGRIC.,NIGER,0
113,31/01/2024,COM10113,AGRICULTURE (RICE PRODUCTION),EXISTING,OB10113,10000000000,WORKING CAPITAL,UPSTREAM,NOT PROVIDED,YES,YES,YES,NOT YET PROVIDED,NO,NIL,NIL,NIL,AWAITING RESPONSE FROM NIGER STATE GOVERNMENT REPRESENTATIVE,NOT YET,AWAITING RESPONSE,NIGER,0
114,31/01/2024,COM10114,MILLING,EXISTING,OB10114,1000000000,WORKING CAPITAL,MIDSTREAM,NEXIM,YES,YES,YES,NOT YET PROVIDED,NO,NIL,NIL,NIL,DISCUSSION STILL IN PROGRESS,HIGH INTEREST RATE,THE NFO WILL BE HAVING AN ENGAGEMENT WITH ACCESS BANK SINCE IT IS THE CHANNEL PARTNER BANK,NIGER,0
115,31/01/2024,Laola Integrated Ventures Nigeria Limited,Marketing (Cocoa and Cashew),EXISTING,OB10115,100000000,Marketing and exporting of Cocoa Beans and Cashew Nuts,DOWNSTREAM,Sterling Bank,NO,YES,YES,"20% cash collateral,NIRSAL CRG, Insurance, Stock hypotthecation",YES,NIL,NIL,NIL,Account review and credit check is currently ongoing by Sterling Bank. , ,Follow up on the consideration of the loan facility by Sterling Bank,OSUN,0
116,31/01/2024,Muyibash Trading and Services,Marketing (Cocoa and Cashew),EXISTING,OB10116,100000000,Marketing and exporting of Cocoa Beans and Cashew Nuts,DOWNSTREAM,Fidelity Bank,YES,NO,YES,"20% cash collateral,NIRSAL CRG, Insurance, Stock hypotthecation",YES,NIL,NIL,NIL,Account review and credit check is currently ongoing by Fidelity Bank. , ,Follow up on the consideration of the loan facility by Fidelity Bank,OSUN,0
117,31/01/2024,Moyolas global ventures,Marketing (Cocoa and Cashew),EXISTING,OB10117,80000000,Marketing and exporting of Cocoa Beans and Cashew Nuts,DOWNSTREAM,Sterling Bank,NO,YES,YES,"20% cash collateral,NIRSAL CRG, Insurance, Stock hypotthecation",YES,NIL,NIL,NIL,Account review and credit check is currently ongoing by Sterling Bank. , ,Follow up on the consideration of the loan facility by Sterling Bank,OSUN,0
118,31/01/2024,Muftau Raheem and Sons,Marketing (Cocoa and Cashew),EXISTING,OB10118,80000000,Marketing and exporting of Cocoa Beans and Cashew Nuts,DOWNSTREAM,Sterling Bank,NO,YES,YES,"20% cash collateral,NIRSAL CRG, Insurance, Stock hypotthecation",YES,NIL,NIL,NIL,Account review and credit check is currently ongoing by Sterling Bank. , ,Follow up on the consideration of the loan facility by Sterling Bank,OSUN,0
119,31/01/2024,Zeebroad Agribusiness,Marketing (Cocoa and Cashew),EXISTING,OB10119,50000000,Marketing and exporting of Cocoa Beans and Cashew Nuts,DOWNSTREAM,Sterling Bank,NO,YES,YES,"20% cash collateral,NIRSAL CRG, Insurance, Stock hypotthecation",YES,NIL,NIL,NIL,Account review and credit check is currently ongoing by Sterling Bank. , ,Follow up on the consideration of the loan facility by Sterling Bank,OSUN,0
120,31/01/2024,Sinakaz Global Royal Limited,Marketing (Cocoa and Cashew),EXISTING,OB10120,100000000,Marketing and exporting of Cocoa Beans and Cashew Nuts,DOWNSTREAM,Sterling Bank,NO,YES,YES,"20% cash collateral,NIRSAL CRG, Insurance, Stock hypotthecation",YES,NIL,NIL,NIL,Account review and credit check is currently ongoing by Sterling Bank. , ,Follow up on the consideration of the loan facility by Sterling Bank,OSUN,0
121,31/01/2024,Wonderful Magnificient ,Marketing (Cocoa and Cashew),EXISTING,OB10121,100000000,Marketing and exporting of Cocoa Beans and Cashew Nuts,DOWNSTREAM,Sterling Bank,NO,YES,YES,"20% cash collateral,NIRSAL CRG, Insurance, Stock hypotthecation",YES,NIL,NIL,NIL,Account review and credit check is currently ongoing by Sterling Bank. , ,Follow up on the consideration of the loan facility by Sterling Bank,OSUN,0
122,2/2/2024,Akande Moshood Nigeria Enterprises,Marketing (Cocoa and Cashew),EXISTING,OB10122,100000000,Marketing and exporting of Cocoa Beans and Cashew Nuts,DOWNSTREAM,Sterling Bank,NO,YES,YES,"20% cash collateral,NIRSAL CRG, Insurance, Stock hypotthecation",YES,NIL,NIL,NIL,Account review and credit check is currently ongoing by Sterling Bank. , ,Follow up on the consideration of the loan facility by Sterling Bank,OSUN,0
123,2/2/2024,SUNNY PROFIT INTERNATIONAL LIMITED,EXPORT,EXISTING,OB10123,250000000,WORKING CAPITAL,DOWNSTREAM,ZENITH BANK,NO,YES,NO,LEGAL MORTGAGE,YES,NIL,NIL,NIL,THE PROMOTER IS IN DISCUSSION WITH HIS ACCOUNT OFFICER.,,THE PROMOTER IS TO CONTACT HIS RELATIONSHIP MANAGER ON THE DOCUMENTATION REQUIRED FOR ACCESSING THE FACILITY.,OYO,0
124,2/2/2024,COLOSSUS INVESTMENTS LIMITED,EXPORT,EXISTING,OB10124,4000000000,WORKING CAPITAL,DOWNSTREAM,JAIZ BANK,YES,NO,YES,LEGAL MORTGAGE,YES,NIL,NIL,NIL,,,THE PROMOTER IS TO DISCUSS WITH THE RELATIONSHIP OFFICER ON THE ENHANCEMENT OF THE FACILITY AND USING NIRSAL'S CRG AS PART OF THE SECURITY.,OYO,0
125,2/2/2024,MOZUKAHDJ NIGERIA LIMITED,EXPORT,EXISTING,OB10125,2000000000,WORKING CAPITAL,DOWNSTREAM,UBA,YES,YES,YES,ALL ASSET DEBENTURE,YES,NIL,NIL,NIL,THE PROMOTER AWAITS OFFER LETTER FROM UBA,,,OYO,1
126,6/3/2024,ATOKE FARM AND AGROPROCESSING ENTERPRISE,CASSAVA PROCESSING,EXISTING,OB10126,50000000,WORKING CAPITAL,MIDSTREAM,BOI,NO,YES,NO,LEGAL MORTGAGE,YES,NIL,NIL,NIL,THE PROMOTER IS IN DISCUSSION WITH THE ACCOUNT OFFICER,,THE PROMOTER IS TO SUBMIT HIS LOAN REQUEST TO THE BANK,OYO,0
127,6/3/2024,TEJUBIYI FARMS AND AGRO ALLIED COMPANY,POULTRY,EXISTING,OB10127,150000000,EXPANSION,UPSTREAM,BANK OF INDUSTRY,NO,YES,NO,LEGAL MORTGAGE,YES,NIL,NIL,NIL,DOCUMENTS SUBMITTED TO BOI CONSULTANT FOR ONWARD SUBMISSION ON BOI PORTAL.,,THE PROMOTER IS TO SEND IN OFFICIAL VALUATION REPORT FROM THE ACCREDITED BOI VALUER.,OYO,0
128,6/3/2024,MACK ORGANIC FERTILIZER,FERTILIZER,EXISTING,OB10128,100000000,EXPANSION,UPSTREAM,BANK OF INDUSTRY,NO,YES,NO,LEGAL MORTGAGE,YES,NIL,NIL,NIL,DOCUMENTS SUBMITTED TO BOI CONSULTANT FOR ONWARD SUBMISSION ON BOI PORTAL.,,THE PROMOTER IS TO CONTACT BOI ACCREDITED VALUER FOR THE COLLATERAL TO BE PLEDGED FOR THE FACILTIY AMOUNT.,OYO,0
129,4/4/2024,BOOM TRUST LIMITED,HORTICULTURE,EXISTING,OB10129,50000000,WORKING CAPITAL,UPSTREAM,ECOBANK,NO,YES,YES,NOT YET KNOWN,NO,NIL,NIL,NIL,DISCUSSION ONGOING WITH THE BANKS,,THE PROMOTER IS TO ENGAGE IN FURTHER DISCUSSION WITH THE BANKS.,OYO,0
130,4/4/2024,NEOGRIC AGRIC EXPORT,PRODUCE AGGREGATION/ EXPORT,EXISTING,OB10130,200000000,WORKING CAPITAL,DOWNSTREAM,NEXIM BANK,NO,YES,YES,STILL IN DISCUSSION,YES,NIL,NIL,NIL,STILL IN DISCUSSION WITH THE BANK ,,,OYO,1
131,1/3/2024, NUTSLINKS LIMITED,"CASHEW AGGREGATION, PROCESSING AND EXPORT",EXISTING,OB10131,500000000,WORKING CAPITAL,DOWNSTREAM,WEMA BANK,NO,YES,YES,STILL IN DISCUSSION,YES,NIL,NIL,NIL,BUSINESS PROPOSAL HAS BEEN SUBMITTED TO WEMA BANK's HEAD OFFICE ,,AWAITING RESPONSE FROM THE BANK's HEAD OFFICE ,OYO,1
132,1/3/2024,SPECTRA INDUSTRIES LIMITED,The company is into Processing of Cocoa  to beverages.,EXISTING,OB10132,1000000000,To purchase more machines for processing and expansion,MIDSTREAM,Zenith Bank,YES,YES,YES, ,NO,NIL,NIL,NIL,,,,LAGOS,0
133,1/3/2024,Grafinal Hatchery & Fish Breeding Centre,The company is into Hatchery and breeding of fish. ,EXISTING,OB10133,2000000000,Expansion,UPSTREAM,WEMA Bank,YES,YES,YES, ,NO,NIL,NIL,NIL,,,,LAGOS,0
134,1/3/2024,Future-First integrated Services Limited.,They are into production of full fat Soya for animal feed especially for the poultry industry.,EXISTING,OB10134,100000000,Purchase of a 350 KVA generator and the purchase of soya beans as raw materials. ,MIDSTREAM,Polaris Bank,YES,YES,YES, ,NO,NIL,NIL,NIL,,,,LAGOS,0
135,1/3/2024,Eden group  multipurpose cooperative society,"The company is into processing of Moringa to finished product of : Moringa oil, Moringa tea and moringa powder",NEW  ,OB10135,5000000000,For purchase of equipment ,MIDSTREAM,KEYSTONE,NO,YES,NO, ,YES,NIL,NIL,NIL,,,,LAGOS,0
136,1/3/2024,Wizstar Foods and Flour Company,"The company is into packaging of flour based products (Pancake flour, Almond Flour) and Garri.",NEW  ,OB10136,100000000,For expansion of the business,MIDSTREAM,Access Bank,NO,YES,NO, ,NO,NIL,NIL,NIL,,,,LAGOS,0
137,1/3/2024,Zammark Farms Allied Ltd,The company is into Piggery and wants to also go into processing of soyabeans and groundnut into soya oil and groundnut oil to by used as by-products for feeding of the pigs.,NEW  ,OB10137,2800000000,For business expansion,MIDSTREAM,Access Bank,YES,YES,YES, ,YES,NIL,NIL,NIL,,,,LAGOS,0
138,1/3/2024,Super LG Comfort Nigeria Ltd,The company is into rice milling and rice farming,NEW  ,OB10138,2000000000,For rice milling plant,MIDSTREAM,FCMB,YES,YES,YES, ,NO,NIL,NIL,NIL,,,,LAGOS,0
139,1/3/2024,Ocean Global Impex Services Ltd,"The company is into exportation of cocoa beans ,soybeans , sorghum and cashew",EXISTING,OB10139,1000000000,For business expansion,DOWNSTREAM,KEYSTONE,YES,YES,YES, ,NO,NIL,NIL,NIL,,,,LAGOS,0
140,1/3/2024,"Bio Floc integrated
Farms limted","This is an integrated farm that is into poultry(layers), cow, goat and wants to expand to include a processing plant ",NEW  ,OB10140,1200000000,For business expansion,MIDSTREAM,Eco Bank,NO,YES,NO, ,NO,NIL,NIL,NIL,,,,LAGOS,0
141,1/3/2024,Uncommon Grace Frams,The company is into poultry production,NEW  ,OB10141,100000000,For business expansion,MIDSTREAM,Polaris Bank,NO,YES,YES, ,NO,NIL,NIL,NIL, , , ,LAGOS,0
142,1/3/2024,Diosis Agro Allied,This an exporting firm that deals mostly in cashew,NEW  ,OB10142,1000000000,For business expansion,DOWNSTREAM,Access Bank/Stanbic,NO,YES,YES, ,NO,NIL,NIL,NIL, , , ,LAGOS,0
143,1/3/2024,Cash Ford ,"This is an exporting firm that deals in Cashew nuts , Soybeans,Seasame seeds and ginger.",NEW  ,OB10143,2000000000,Tomeet demands from customer,DOWNSTREAM,"Sterling Bank
/ Nexim Bank",NO,YES,YES, ,NO,NIL,NIL,NIL, , , ,LAGOS,0
144,1/3/2024,Quantum Aquatic,Processing of catfish,NEW  ,OB10144,250000000,"For purchase
 of processing machine",MIDSTREAM,SunTrust Bank,NO,YES,YES, ,NO,NIL,NIL,NIL, , , ,LAGOS,0
145,1/3/2024,Graceco Limited,"Processing of flour mills, cakes and packaging of icing sugar, beverages",NEW  ,OB10145,300000000,"For purchase
 of processing machine and stock financing ",MIDSTREAM,Access Bank,YES,YES,YES, ,NO,NIL,NIL,NIL, , , ,LAGOS,0
146,1/3/2024,Ehimab Food Ventures,The client is a major distributor of palm oil and is seeking to diversify into packaging the produce.,NEW  ,OB10146,100000000,For expansion of the business,MIDSTREAM,Access Bank,NO,YES,NO, ,NO,NIL,NIL,NIL, , , ,LAGOS,0
147,28/3/24,BK Agro,The company is into the aggregation and exporting of cashew nuts to Europe and Asia.,EXISTING,OB10147,800000000,For expansion of business,DOWNSTREAM,Keystone Bank,YES,NO,NO, ,NO,NIL,NIL,NIL, , , ,LAGOS,0
148,28/3/24,EKPOBROS UNIVERSAL LIMITED,"INPUT SUPPLIES (POULTRY, .FISH FEEDS, CPP PRODUCTS ETC)",EXISTING,OB10148,50000000,ACQUISITION OF POULTRY INPUTS,UPSTREAM,POLARIS BANK,YES,YES,YES,TO BE CONCLUDED BY THE COUNTER PARTY,YES,NIL,NIL,NIL,,,FOLLOW UP OF OBLIGOR/ COUNTER PARTY TO ASCERTAIN THE PROGRESS OF THE LOAN DOCUMENTATION  ,AKWA IBOM,1
149,31/1/2024,AKANG FARMS ,"INTEGRATED FARM (FISH, POULTRY, CROP/ VEGETABLES",EXISTING,OB10149,100000000,EXPANSION OF FISH PONDS,UPSTREAM,STANBIC IBTC,YES,YES,YES,OBLIGOR HAS PRESISENTED A COMPLETED PROPERTY IN A STRATEGIC LOCATION WITHIN UYO METROPOLIS,YES,NIL,NIL,NIL,,"OBLIGOR HAS GOTTEN CERTIFICATE OF DEED, COUNTER PARTY BIS INSISTING ON CERTIFICATE OF OCCUPANCY FOR THYE PROPOSED SECURITY. OBLIGOR IS STILL WORKING ON GETTING IT SIGNED BY THE AKWA IBOM STATE GOVERNMENT.",FOLLOW UP OF OBLIGOR/ COUNTER PARTY TO ASCERTAIN THE PROGRESS OF THE LOAN DOCUMENTATION AND THE PROGRESS WITH THE COLLECTION OF CERTIFICATE OF OCCUPANCY ,AKWA IBOM,1
